date,air_temperature_id,air_humidity_id,precipitation_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1483228800000,5.7,94,,0,1000.9,0.0,
1483232400000,5.1,96,0.0,0,1000.5,0.0,
1483236000000,5.5,97,0.0,100,1000.1,0.0,
1483239600000,5.5,96,0.0,100,999.8,0.0,
1483243200000,5.2,94,0.0,25,999.5,0.0,
1483246800000,4.7,93,0.0,88,999.3,0.0,
1483250400000,3.9,92,,0,999.1,0.0,
1483254000000,1.8,96,0.0,0,999.2,0.0,
1483257600000,0.5,95,0.0,100,999.6,0.0,
1483261200000,1.0,94,0.0,13,999.9,1.3,
1483264800000,1.3,87,0.0,0,1000.2,2.9,
1483268400000,1.0,85,0.0,0,1000.1,3.5,
1483272000000,0.4,83,,0,1000.4,2.6,
1483275600000,0.2,83,0.0,38,1000.7,0.6,
1483279200000,-0.4,85,0.0,0,1001.1,0.0,
1483282800000,-0.6,88,0.0,75,1002.0,0.0,
1483286400000,0.1,84,0.0,100,1002.3,0.0,
1483290000000,-0.4,88,0.0,100,1002.8,0.0,
1483293600000,-0.1,87,,100,1003.3,0.0,
1483297200000,0.1,92,0.0,100,1004.0,0.0,
1483300800000,0.3,93,,100,1004.8,0.0,
1483304400000,0.4,92,0.0,88,1005.4,0.0,
1483308000000,0.2,94,0.0,100,1005.7,0.0,
1483311600000,-0.2,94,0.0,100,1005.6,0.0,
1483315200000,-0.7,90,,75,1005.7,0.0,
1483318800000,-1.0,94,0.0,100,1005.9,0.0,
1483322400000,-1.1,92,0.0,100,1005.7,0.0,
1483326000000,-1.5,87,0.0,100,1005.5,0.0,
1483329600000,-1.1,84,0.0,100,1005.2,0.0,
1483333200000,-1.4,82,0.0,100,1005.1,0.0,
1483336800000,-1.6,81,,75,1005.0,0.0,
1483340400000,-2.7,82,0.0,0,1005.2,0.0,
1483344000000,-3.3,83,0.0,13,1005.7,0.0,
1483347600000,-3.2,82,0.0,0,1005.9,1.1,
1483351200000,-2.4,79,0.0,100,1005.8,2.3,
1483354800000,-1.8,78,0.0,100,1006.0,1.8,
1483358400000,-1.5,77,,100,1005.7,1.4,
1483362000000,-1.1,76,0.0,100,1005.8,0.5,
1483365600000,-1.3,74,0.0,88,1006.0,0.0,
1483369200000,-2.0,75,0.0,0,1006.3,0.0,
1483372800000,-2.2,73,0.0,38,1006.2,0.0,
1483376400000,-2.6,75,0.0,50,1006.3,0.0,
1483380000000,-3.5,78,,0,1006.6,0.0,
1483383600000,-3.8,79,0.0,100,1006.6,0.0,
1483387200000,-4.6,81,0.0,0,1006.9,0.0,
1483390800000,-4.2,80,0.0,75,1007.4,0.0,
1483394400000,-4.4,80,0.0,100,1007.5,0.0,
1483398000000,-5.1,83,0.0,0,1007.4,0.0,
1483401600000,-5.5,84,,0,1006.8,0.0,
1483405200000,-6.0,84,0.0,0,1006.5,0.0,
1483408800000,-6.1,83,0.0,0,1006.7,0.0,
1483412400000,-6.6,84,0.0,0,1006.4,0.0,
1483416000000,-7.0,84,0.0,0,1006.0,0.0,
1483419600000,-7.6,86,0.0,0,1005.3,0.0,
1483423200000,-8.0,88,,38,1004.6,0.0,
1483426800000,-8.5,89,0.0,0,1003.6,0.0,
1483430400000,-8.9,92,0.0,25,1003.5,0.0,
1483434000000,-7.5,90,0.0,75,1002.7,1.0,
1483437600000,-6.3,90,0.0,0,1001.5,2.9,
1483441200000,-5.0,88,0.0,0,999.7,3.9,
1483444800000,-4.3,84,,0,998.0,2.9,
1483448400000,-4.2,88,0.0,0,996.5,1.0,
1483452000000,-4.1,85,0.0,0,995.1,0.0,
1483455600000,-3.7,84,0.0,0,993.0,0.0,
1483459200000,-2.8,87,0.0,113,990.8,0.0,
1483462800000,-2.5,96,1.0,113,988.8,0.0,
1483466400000,-1.9,98,2.0,113,986.8,0.0,
1483470000000,-1.5,99,2.0,113,985.6,0.0,
1483473600000,-1.4,98,2.0,113,984.5,0.0,
1483477200000,-1.4,98,0.8,113,983.9,0.0,
1483480800000,-1.3,98,2.0,113,983.9,0.0,
1483484400000,-1.1,98,1.0,113,984.2,0.0,
1483488000000,-1.1,98,0.7,113,984.9,0.0,
1483491600000,-0.9,97,0.3,113,986.3,0.0,
1483495200000,-1.0,97,0.4,113,987.6,0.0,
1483498800000,-1.4,93,0.0,113,989.3,0.0,
1483502400000,-1.7,96,0.4,113,990.7,0.0,
1483506000000,-2.2,90,0.2,113,992.6,0.0,
1483509600000,-2.6,84,0.1,75,994.5,0.0,
1483513200000,-3.7,82,0.0,38,996.4,0.0,
1483516800000,-3.6,81,,88,998.1,0.0,
1483520400000,-4.2,78,,100,1000.0,0.7,
1483524000000,-4.8,79,0.0,88,1001.5,1.8,
1483527600000,-5.4,78,0.0,13,1003.1,1.7,
1483531200000,-5.9,77,,100,1004.9,1.8,
1483534800000,-6.4,76,0.0,113,1006.8,0.6,
1483538400000,-6.9,78,0.0,113,1008.5,0.0,
1483542000000,-6.9,84,0.2,113,1009.9,0.0,
1483545600000,-7.1,80,0.1,113,1011.4,0.0,
1483549200000,-6.8,80,0.1,113,1013.1,0.0,
1483552800000,-7.0,75,0.0,100,1014.7,0.0,
1483556400000,-7.1,75,0.1,113,1016.1,0.0,
1483560000000,-7.7,75,0.1,100,1017.9,0.0,
1483563600000,-9.0,73,0.0,100,1019.9,0.0,
1483567200000,-9.7,75,,100,1021.4,0.0,
1483570800000,-9.7,83,0.0,100,1022.3,0.0,
1483574400000,-9.6,89,0.0,113,1023.3,0.0,
1483578000000,-9.4,87,0.0,113,1024.2,0.0,
1483581600000,-9.3,90,0.6,113,1025.1,0.0,
1483585200000,-9.1,89,0.1,38,1026.0,0.0,
1483588800000,-10.2,88,0.0,63,1026.5,0.1,
1483592400000,-10.3,87,0.0,100,1027.7,0.1,
1483596000000,-10.2,87,0.1,113,1028.9,0.1,
1483599600000,-10.7,89,0.2,100,1029.7,0.1,
1483603200000,-11.3,88,0.2,113,1030.9,0.1,
1483606800000,-11.6,88,0.5,113,1032.2,1.4,
1483610400000,-11.7,86,0.1,63,1032.8,3.6,
1483614000000,-11.8,86,0.0,100,1033.7,4.3,
1483617600000,-11.2,85,0.1,100,1034.3,1.6,
1483621200000,-11.9,86,0.0,100,1034.8,1.3,
1483624800000,-11.5,84,0.0,100,1035.8,0.1,
1483628400000,-12.7,84,0.0,100,1036.5,0.0,
1483632000000,-15.5,82,,0,1037.1,0.0,
1483635600000,-16.2,80,0.0,13,1037.3,0.0,
1483639200000,-17.2,86,,0,1037.8,0.0,
1483642800000,-18.1,86,0.0,0,1038.1,0.0,
1483646400000,-18.0,84,0.0,0,1038.6,0.0,
1483650000000,-18.7,84,0.0,0,1039.1,0.0,
1483653600000,-20.0,83,0.0,0,1039.3,0.0,
1483657200000,-22.1,82,0.0,0,1039.5,0.0,
1483660800000,-23.0,81,,0,1039.3,0.0,
1483664400000,-24.1,80,0.0,0,1039.5,0.0,
1483668000000,-22.8,81,0.0,0,1039.2,0.0,
1483671600000,-22.5,81,0.0,0,1038.8,0.0,
1483675200000,-19.7,83,0.0,0,1038.5,0.0,
1483678800000,-19.3,83,0.0,0,1038.3,0.0,
1483682400000,-19.2,84,,75,1038.0,0.0,
1483686000000,-17.0,86,0.0,100,1037.7,0.0,
1483689600000,-15.9,88,0.0,0,1037.5,0.0,
1483693200000,-14.3,88,,0,1037.1,0.4,
1483696800000,-12.2,88,0.0,75,1036.6,3.9,
1483700400000,-10.5,86,0.0,100,1035.5,3.5,
1483704000000,-8.9,83,,100,1034.4,2.2,
1483707600000,-7.6,82,0.0,100,1033.6,1.0,
1483711200000,-6.9,84,0.0,100,1032.9,0.0,
1483714800000,-6.1,85,0.0,100,1032.3,0.0,
1483718400000,-5.9,84,0.0,88,1031.6,0.0,
1483722000000,-5.6,81,0.0,88,1030.8,0.0,
1483725600000,-5.6,79,,100,1029.9,0.0,
1483729200000,-5.4,78,0.0,100,1028.5,0.0,
1483732800000,-4.9,77,0.0,100,1027.3,0.0,
1483736400000,-5.1,82,,100,1026.2,0.0,
1483740000000,-5.2,89,0.0,100,1024.7,0.0,
1483743600000,-4.9,89,0.0,100,1023.5,0.0,
1483747200000,-4.9,85,,100,1022.0,0.0,
1483750800000,-5.1,89,0.4,113,1020.4,0.0,
1483754400000,-5.5,93,1.0,113,1019.5,0.0,
1483758000000,-5.5,93,1.0,113,1018.5,0.0,
1483761600000,-5.3,94,2.0,113,1018.1,0.0,
1483765200000,-4.9,94,2.0,113,1017.6,0.0,
1483768800000,-4.5,94,0.4,100,1017.6,0.0,
1483772400000,-4.1,96,0.0,100,1017.9,0.0,
1483776000000,-3.7,96,,88,1018.5,0.0,
1483779600000,-3.4,96,0.0,100,1018.5,1.2,
1483783200000,-3.3,96,0.0,100,1019.0,2.7,
1483786800000,-3.8,96,0.0,0,1019.0,4.5,
1483790400000,-3.5,96,,0,1019.1,4.3,
1483794000000,-6.1,94,0.0,0,1019.6,1.9,
1483797600000,-8.6,94,0.0,0,1020.1,0.2,
1483801200000,-12.3,91,0.0,0,1021.0,0.1,
1483804800000,-14.2,88,0.0,0,1021.9,0.1,
1483808400000,-14.7,88,0.0,0,1022.6,0.1,
1483812000000,-15.0,88,,0,1022.9,0.1,
1483815600000,-16.4,87,0.0,0,1023.4,0.1,
1483819200000,-16.5,87,0.0,0,1023.9,0.1,
1483822800000,-16.6,87,0.0,0,1024.4,0.1,
1483826400000,-17.0,86,0.0,0,1024.8,0.1,
1483830000000,-17.0,86,0.0,0,1024.7,0.1,
1483833600000,-17.1,85,,0,1024.7,0.1,
1483837200000,-16.0,87,0.0,0,1024.7,0.1,
1483840800000,-17.0,87,0.0,0,1024.9,0.1,
