,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR
23885,1569726000000,0.0,0.524769019578954,0.5247690195789585,0.5247690195789545,0.5247690195789435,0.0,0.0,0.0,0.45622653693222326
23886,1569729600000,0.0,0.6644064259050708,0.664406425905077,0.6644064259050708,0.664406425905061,0.0,0.0,0.0,0.5918289127871623
23887,1569733200000,0.0,0.8277445651273787,0.8277445651273848,0.8277445651273787,0.8277445651273695,0.12429267040069503,0.9097024083344651,0.024491521869904886,0.7507896068989455
23889,1569740400000,0.38,1.2772590343665986,1.277259034366608,1.277259034366601,1.2772590343665882,1.4462908460479316,2.6812423798474896,0.5071736036629195,1.1897115598785968
23890,1569744000000,1.95,1.7652168850896874,1.7652168850896988,1.7652168850896892,1.7652168850896737,2.722670169331809,3.44296543135604,2.3975606757869676,1.6725412914947317
23891,1569747600000,2.59,3.243362840428959,3.2433628404289676,3.2433628404289614,3.2433628404289405,3.351030539781933,3.904892717491448,4.532231105498644,3.1433361781718436
23892,1569751200000,5.18,3.85138370021689,3.851383700216899,3.851383700216889,3.8513837002168665,5.480617748795639,5.392709029719024,5.144493475448449,3.7465191355506744
23893,1569754800000,6.1,5.989967295758146,5.9899672957581505,5.989967295758149,5.9899672957581185,5.862214290391121,6.090025361644612,5.97776318351274,5.879021967388358
23895,1569762000000,3.33,6.267781086560311,6.267781086560315,6.267781086560316,6.267781086560288,5.725059372062017,5.82955300806135,5.287264588608567,6.160675359921585
23896,1569765600000,2.29,3.249222331359758,3.2492223313597606,3.2492223313597606,3.249222331359744,5.136806319812263,5.298161652777166,4.268353958737601,3.1564998494765093
23897,1569769200000,1.36,1.7731245255865495,1.7731245255865515,1.7731245255865495,1.7731245255865422,4.521343184453123,4.519166703624549,3.4579132820739655,1.6946848363336608
23898,1569772800000,0.5,0.7100031030972698,0.710003103097273,0.710003103097268,0.7100031030972656,3.6578572049677653,3.1778911115207507,2.2391561126990385,0.6422145867144452
