date,air_humidity_id,precipitation_id,sun_hours_id,output
1514764800000,99,0.9,0.0,
1514768400000,99,0.2,0.0,
1514772000000,99,0.3,0.0,
1514775600000,100,0.2,0.0,
1514779200000,100,0.0,0.0,
1514782800000,100,0.0,0.0,
1514786400000,100,,0.0,
1514790000000,100,0.0,0.0,
1514793600000,100,0.0,0.0,
1514797200000,100,0.0,0.5,
1514800800000,100,0.0,1.0,
1514804400000,100,0.0,1.2,
1514808000000,100,0.7,0.9,
1514811600000,99,1.0,0.4,
1514815200000,100,0.7,0.0,
1514818800000,100,2.0,0.0,
1514822400000,100,1.0,0.0,
1514826000000,100,2.0,0.0,
1514829600000,100,1.0,0.0,
1514833200000,100,,0.0,
1514836800000,99,0.0,0.0,
1514840400000,100,0.0,0.0,
1514844000000,100,0.4,0.0,
1514847600000,100,0.2,0.0,
1514851200000,100,0.0,0.0,
1514854800000,100,0.0,0.0,
1514858400000,100,0.0,0.0,
1514862000000,100,0.0,0.0,
1514865600000,100,0.0,0.0,
1514869200000,100,0.0,0.0,
1514872800000,100,,0.0,
1514876400000,100,0.0,0.0,
1514880000000,100,0.0,0.1,
1514883600000,100,0.0,0.6,
1514887200000,99,0.1,1.3,
1514890800000,99,0.0,1.0,
1514894400000,97,0.0,0.9,
1514898000000,97,0.0,0.4,
1514901600000,95,0.0,0.0,
1514905200000,95,0.0,0.0,
1514908800000,95,0.0,0.0,
1514912400000,95,0.0,0.0,
1514916000000,94,,0.0,
1514919600000,96,0.0,0.0,
1514923200000,97,0.0,0.0,
1514926800000,97,0.0,0.0,
1514930400000,95,0.0,0.0,
1514934000000,94,0.0,0.0,
1514937600000,95,,0.0,
1514941200000,94,0.0,0.0,
1514944800000,92,0.0,0.0,
1514948400000,90,0.0,0.0,
1514952000000,93,0.0,0.0,
1514955600000,93,0.0,0.0,
1514959200000,92,,0.0,
1514962800000,95,0.0,0.0,
1514966400000,95,0.0,0.0,
1514970000000,96,0.0,0.6,
1514973600000,96,0.0,1.0,
1514977200000,94,0.0,1.2,
1514980800000,95,0.0,1.3,
1514984400000,95,0.0,0.4,
1514988000000,96,0.0,0.0,
1514991600000,97,0.0,0.0,
1514995200000,97,0.0,0.0,
1514998800000,97,0.0,0.0,
1515002400000,98,,0.0,
1515006000000,97,0.2,0.0,
1515009600000,98,0.0,0.0,
1515013200000,98,0.0,0.0,
1515016800000,96,0.2,0.0,
1515020400000,98,0.2,0.0,
1515024000000,96,0.0,0.0,
1515027600000,97,0.0,0.0,
1515031200000,96,0.0,0.0,
1515034800000,96,0.0,0.0,
1515038400000,97,0.5,0.0,
1515042000000,96,0.4,0.0,
1515045600000,96,,0.0,
1515049200000,96,0.0,0.0,
1515052800000,96,0.0,0.1,
1515056400000,96,0.0,0.5,
1515060000000,96,0.0,1.1,
1515063600000,96,0.0,1.4,
1515067200000,95,0.0,0.9,
1515070800000,94,0.1,0.5,
1515074400000,96,0.1,0.0,
1515078000000,96,0.3,0.0,
1515081600000,97,0.3,0.0,
1515085200000,97,0.2,0.0,
1515088800000,97,0.5,0.0,
1515092400000,97,0.1,0.0,
1515096000000,98,0.3,0.0,
1515099600000,98,0.0,0.0,
1515103200000,98,0.3,0.0,
1515106800000,99,0.0,0.0,
1515110400000,99,0.0,0.0,
1515114000000,99,0.0,0.0,
1515117600000,99,0.0,0.0,
1515121200000,99,0.0,0.0,
1515124800000,99,0.0,0.0,
1515128400000,99,0.4,0.0,
1515132000000,100,0.2,0.0,
1515135600000,100,0.0,0.0,
1515139200000,100,0.0,0.1,
1515142800000,100,0.0,0.5,
1515146400000,100,0.0,1.0,
1515150000000,100,0.0,1.2,
1515153600000,98,0.0,1.1,
1515157200000,96,0.0,0.8,
1515160800000,93,,0.0,
1515164400000,92,0.0,0.0,
1515168000000,91,0.0,0.0,
1515171600000,90,,0.0,
1515175200000,89,,0.0,
1515178800000,92,0.0,0.0,
1515182400000,90,0.0,0.0,
1515186000000,89,0.0,0.0,
1515189600000,87,0.0,0.0,
1515193200000,87,0.0,0.0,
1515196800000,87,,0.0,
1515200400000,86,0.0,0.0,
1515204000000,87,0.0,0.0,
1515207600000,89,0.0,0.0,
1515211200000,89,0.0,0.0,
1515214800000,89,0.0,0.0,
1515218400000,91,,0.0,
1515222000000,91,,0.0,
1515225600000,91,0.0,0.2,
1515229200000,89,0.0,1.5,
1515232800000,87,0.0,2.7,
1515236400000,85,0.0,3.1,
1515240000000,85,,1.2,
1515243600000,84,0.0,1.2,
1515247200000,88,0.0,0.0,
1515250800000,83,,0.0,
1515254400000,81,0.0,0.0,
1515258000000,78,0.0,0.0,
1515261600000,78,,0.0,
1515265200000,79,0.0,0.0,
1515268800000,77,0.0,0.0,
1515272400000,75,0.0,0.0,
1515276000000,81,0.0,0.0,
1515279600000,81,0.0,0.0,
1515283200000,82,,0.0,
1515286800000,79,0.0,0.0,
1515290400000,79,0.0,0.0,
1515294000000,80,0.0,0.0,
1515297600000,80,0.0,0.0,
1515301200000,77,0.0,0.0,
1515304800000,80,,0.0,
1515308400000,80,0.0,0.0,
1515312000000,79,0.0,0.2,
1515315600000,75,0.0,1.6,
1515319200000,72,0.0,3.0,
1515322800000,70,0.0,2.5,
1515326400000,68,,2.0,
1515330000000,74,0.0,1.1,
1515333600000,80,0.0,0.1,
1515337200000,80,0.0,0.0,
1515340800000,79,0.0,0.0,
1515344400000,74,0.0,0.0,
1515348000000,69,,0.0,
1515351600000,71,0.0,0.0,
1515355200000,71,0.0,0.0,
1515358800000,67,0.0,0.0,
1515362400000,71,0.0,0.0,
1515366000000,63,0.0,0.0,
1515369600000,65,,0.0,
1515373200000,63,0.0,0.0,
1515376800000,63,0.0,0.0,
1515380400000,67,0.0,0.0,
1515384000000,72,0.0,0.0,
1515387600000,70,0.0,0.0,
1515391200000,70,,0.0,
1515394800000,74,0.0,0.0,
1515398400000,78,0.0,0.3,
1515402000000,80,0.0,0.7,
1515405600000,80,0.0,1.4,
1515409200000,80,0.0,4.0,
1515412800000,80,,2.9,
1515416400000,80,0.0,1.5,
1515420000000,83,0.0,0.1,
1515423600000,86,0.0,0.0,
1515427200000,89,0.0,0.0,
1515430800000,86,0.0,0.0,
1515434400000,92,,0.0,
1515438000000,92,0.0,0.0,
1515441600000,93,0.0,0.0,
1515445200000,93,0.0,0.0,
1515448800000,95,0.0,0.0,
1515452400000,99,0.0,0.0,
1515456000000,98,,0.0,
1515459600000,97,0.0,0.0,
1515463200000,96,0.0,0.0,
1515466800000,96,0.0,0.0,
1515470400000,96,0.0,0.0,
1515474000000,95,0.0,0.0,
1515477600000,91,,0.0,
1515481200000,91,0.0,0.0,
1515484800000,93,0.0,0.2,
1515488400000,92,0.0,1.6,
1515492000000,87,0.0,3.2,
1515495600000,86,0.0,3.8,
1515499200000,84,,3.3,
1515502800000,83,0.0,1.7,
1515506400000,83,0.0,0.1,
