,date,real_output,RFR
22849,1565982000000,0.12,0.21419999999999995
22850,1565985600000,0.0,1.8905362660926552e-06
22851,1565989200000,0.0,1.8905362660926552e-06
22852,1565992800000,0.0,1.8905362660926552e-06
22853,1565996400000,0.0,1.8905362660926552e-06
22855,1566003600000,0.0,1.8905362660926552e-06
22856,1566007200000,0.0,1.8905362660926552e-06
22857,1566010800000,0.0,1.8905362660926552e-06
22858,1566014400000,0.41,0.3470000000000002
22859,1566018000000,2.14,2.807900000000001
22861,1566025200000,6.44,5.674999999999998
22862,1566028800000,5.58,7.1852
22863,1566032400000,11.74,9.3872
22864,1566036000000,14.04,11.135899999999998
22865,1566039600000,13.05,11.170800000000002
22867,1566046800000,11.04,11.164399999999995
22868,1566050400000,6.98,8.717000000000002
22869,1566054000000,5.82,7.060300000000002
22870,1566057600000,3.25,5.054800000000001
22871,1566061200000,2.04,3.5584000000000007
22873,1566068400000,0.01,0.2274000000000001
22874,1566072000000,0.0,1.8905362660926552e-06
22875,1566075600000,0.0,1.8905362660926552e-06
22876,1566079200000,0.0,1.8905362660926552e-06
22877,1566082800000,0.0,1.8905362660926552e-06
22878,1566086400000,0.0,1.8905362660926552e-06
22879,1566090000000,0.0,1.8905362660926552e-06
22880,1566093600000,0.0,1.8905362660926552e-06
22881,1566097200000,0.0,1.8905362660926552e-06
22882,1566100800000,0.01,0.18920000000000006
22883,1566104400000,0.5,0.5733
22885,1566111600000,3.26,1.9851999999999999
22886,1566115200000,4.71,5.241600000000001
22887,1566118800000,8.31,6.8535999999999975
22888,1566122400000,8.91,9.752299999999998
22889,1566126000000,10.29,9.878899999999998
22891,1566133200000,3.9,10.970300000000007
22892,1566136800000,2.69,5.190300000000002
22894,1566144000000,1.89,3.973700000000002
22895,1566147600000,2.07,2.8131000000000017
22897,1566154800000,0.0,0.21240000000000003
22898,1566158400000,0.0,1.8905362660926552e-06
22899,1566162000000,0.0,1.8905362660926552e-06
22900,1566165600000,0.0,1.8905362660926552e-06
22901,1566169200000,0.0,1.8905362660926552e-06
