Id;ZipCode;PeakDC;PeakAC;Latitude;Longitude;FirstProduction
734012530000000438;75598;36;27.5;59.776442;17.779425;2015-03-16
734012530000022638;64194;11;11;59.01959;16.08194;2017-08-30
734012530000022645;0;100;100;null;null;
734012530000022652;75334;7.26;6;59.880987;17.616628;2017-08-30
734012530000022669;74192;58;40;59.736162;17.795266;2018-09-25
734012530000022676;64394;12;12;58.93655;15.86799;2019-04-15
734012530000022683;64193;17.49;17.49;59.018613;16.303834;2018-04-08
734012530000022690;74191;74,25;45;59.68109;17.739506;2018-06-01
734012530000022706;64193;13.2;12;59.018947;16.323016;2018-04-10
734012530000022713;64196;13;13.86;59.046027;16.23537;2017-10-10
734012530000022720;64194;12;12;59.021148;16.05069;2017-10-03
734012530000024564;64135;17.660;12.2;58.99048;16.248799;2017-11-01
734012530000024571;64153;16.73;15;58.999253;16.141436;2018-03-18
734012530000024588;64194;10;10;59.007693;16.094462;2018-04-05
734012530000024595;64134;16.85;12.5;58.983862;16.212853;2018-03-25
734012530000024601;18491;9.3;6;59.511591;18.431484;2018-06-04
734012530000024618;13241;10;10;59.318084;18.237513;2018-10-05
734012530000024625;64391;21.3;21.3;59.070405;15.828314;2017-11-01
734012530000024632;64194;10.44;8;59.003632;16.06103;2017-12-07
734012530000025721;74191;29;16;59.687471;17.750892;2018-06-01
734012530000025738;64020;46;33;58.891;16.467105;2018-05-16
734012530000025745;64020;32;27,5;58.8979;16.497505;2018-05-17
734012530000025752;74497;11,36;11;59.98166;17.20563;2018-03-19
734012530000025769;64135;11.9;10.8;58.985656;16.227383;2018-02-19
734012530000025776;64020;81;27.5;58.83795;16.515188;2017-12-07
734012530000025783;0;;;null;null;
734012530000025790;64020;23,2;22;58.8887;16.499705;2018-05-18
734012530000025806;19593;39.4;30;59.701837;18.105535;2018-06-27
734012530000025820;75598;12;12;59.771397;17.757999;2018-02-06
734012530000027572;0;;;null;null;
734012530000027855;74190;20;20;59.72544;17.833702;2018-06-28
734012530000027862;74693;49.3;33;59.638035;17.479757;2018-07-04
734012530000027879;69794;56;43;59.116009;15.359872;2018-05-30
734012530000027886;74190;40;40;59.73484;17.814402;2018-06-28
734012530000027893;64196;17;15;59.106485;16.208194;2018-06-13
734012530000027909;72215;44;44;59.617745;16.553379;2019-06-13
734012530000027916;0;;;null;null;
734012530000027923;14792;139.2;99;59.130087;17.756268;2018-04-24
734012530000027930;64632;11;10;59.053402;17.305887;2018-06-21
734012530000027947;64194;11;10.1;58.986137;16.158587;2018-06-27
734012530000027954;64137;17;10;58.979113;16.220104;2018-06-05
734012530000027961;19593;26.3;20;59.706937;18.135435;2018-06-27
734012530000027978;74364;8.99;6,6;60.020035;17.576548;2018-05-23
734012530000027985;75591;16.8;15;59.785635;17.61932;2018-06-12
734012530000027992;64020;52;33;58.821975;16.543869;2018-05-16
734012530000028005;64020;52.2;44;58.803386;16.518149;2018-10-09
734012530000028012;64194;8;8;59.004124;16.029393;2018-05-18
734012530000030107;74010;24.4;22;59.875961;18.110854;2019-03-12
734012530000030114;74010;41.8;33;59.874361;18.111254;2019-03-12
734012530000030138;64394;54;44;58.98655;15.826852;2018-10-31
734012530000030145;73538;6;6;59.700097;16.246059;2018-10-05
734012530000030152;74491;8;6,6;59.960594;16.981669;2019-01-09
734012530000030169;74895;10;10;60.166913;17.605839;2018-08-23
734012530000030176;74450;12;12;59.926631;16.971176;2018-10-24
734012530000030183;13336;22;22;59.279698;18.317264;2018-09-19
734012530000030190;13241;15;15;59.319785;18.225346;2018-10-05
734012530000030206;64194;6;6.6;59.016424;16.024304;2018-08-10
735999221024301317;64137;;10.290;null;null;2018-06-20
735999221078838821;64137;;9.230;null;null;2018-06-20
734012530000032125;17446;6;6;59.389274;17.950142;2018-10-23
734012530000032149;17446;6;6;59.387654;17.950311;2018-10-15
734012530000032163;80428;9.9;8.8;60.664128;17.21825;2018-10-22
734012530000032187;12242;7.8;6.6;59.265193;18.040529;2018-11-07
734012530000032217;0;;;null;null;
734012530000032224;74191;27.5;27,5;59.685921;17.747755;2018-11-14
734012530000032231;74297;23,2;16,5;60.461454;18.416245;2018-11-09
734012530000032248;19271;5.2;6,6;59.455861;17.901812;2018-10-26
734012530000032255;74046;22;20;60.172183;17.244883;2018-10-26
734012530000032262;0;;;null;null;
735999100053715961;64632;;10.950;null;null;2018-07-26
735999100056984319;75334;;12.250;null;null;2017-11-10
735999100001398390;74895;;4.530;null;null;2018-09-11
735999100016236380;74895;;7.780;null;null;2018-09-11
734012530000033719;75598;;;null;null;
734012530000033726;74491;;;null;null;
734012530000034495;19391;46;33;59.653352;17.644214;2019-01-30
734012530000034501;74046;30;30;60.172668;17.086934;2018-11-28
734012530000034518;73061;9;6,6;59.879087;16.08809;2018-12-05
734012530000034525;61014;28.4;27,5;58.933714;15.922008;2019-02-05
734012530000034532;15150;23;15;59.263581;17.499944;2018-12-05
734012530000034549;75449;8;8;59.867738;17.684117;2018-12-19
734012530000034556;75596;16.53;16.53;59.95523;17.820073;2019-01-26
